"Titre","Image","Monnaie","Numero_Item","Date","Evaluation","Nombre_d_evaluations","Prix"
"Samsung Galaxy S25, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu Nuit, Version FR","https://m.media-amazon.com/images/I/51jR3AYsw0L.__AC_SX300_SY300_QL70_ML2_.jpg","€",2,"2025-02-18",3.3,5,801.67
"Xiaomi Redmi 14C Téléphone portable Android 8 + 256 Go G81 Ultra Processeur 2,0 GHz, écran 6,88"", double caméra AI 50 MP, batterie 5160 mAh, avec charge rapide 18 W, sans NFC (noir)","https://m.media-amazon.com/images/I/51ZnQD6wkxL.__AC_SX300_SY300_QL70_ML2_.jpg","€",4,"2025-02-18",5.0,1,147.0
"HUAWEI Pura 70 Pro Smartphone, 12GB + 512GB,écran à Bords Plats, Prend en Charge Les fonctionnalités Capture Ultra-Rapide, Téléobjectif Macro Ultra Lumineux, 100W Supercharge, Batterie de 5050mAh,Noir","https://m.media-amazon.com/images/I/71Phj5dSsUL.__AC_SX300_SY300_QL70_ML2_.jpg","€",3,"2025-02-18",4.3,67,795.62
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Noir Volcanique, 256GB","https://m.media-amazon.com/images/I/61bG6IqyD5L.__AC_SX300_SY300_QL70_ML2_.jpg","€",0,"2025-02-18",4.4,341,700.04
"Apple iPhone 16 Pro Max (256 Go) - Titane Noir","https://m.media-amazon.com/images/I/61cUeqowwZL.__AC_SY445_SX342_QL70_ML2_.jpg","€",1,"2025-02-18",4.3,606,1366.99
"Samsung Galaxy S25, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu Nuit, Version FR","https://m.media-amazon.com/images/I/51jR3AYsw0L.__AC_SX300_SY300_QL70_ML2_.jpg","€",2,"2025-02-19",3.4,5,801.67
"Xiaomi Redmi 14C Téléphone portable Android 8 + 256 Go G81 Ultra Processeur 2,0 GHz, écran 6,88"", double caméra AI 50 MP, batterie 5160 mAh, avec charge rapide 18 W, sans NFC (noir)","https://m.media-amazon.com/images/I/51ZnQD6wkxL.__AC_SX300_SY300_QL70_ML2_.jpg","€",4,"2025-02-19",5.0,2,147.0
"Samsung Galaxy S25, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu Nuit, Version FR","https://m.media-amazon.com/images/I/51jR3AYsw0L.__AC_SX300_SY300_QL70_ML2_.jpg","€",2,"2025-02-20",3.5,6,801.67
"HUAWEI Pura 70 Pro Smartphone, 12GB + 512GB,écran à Bords Plats, Prend en Charge Les fonctionnalités Capture Ultra-Rapide, Téléobjectif Macro Ultra Lumineux, 100W Supercharge, Batterie de 5050mAh,Noir","https://m.media-amazon.com/images/I/71Phj5dSsUL.__AC_SX300_SY300_QL70_ML2_.jpg","€",3,"2025-02-20",4.3,68,793.33
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Noir Volcanique, 256GB","https://m.media-amazon.com/images/I/61bG6IqyD5L.__AC_SX300_SY300_QL70_ML2_.jpg","€",0,"2025-02-20",4.4,343,700.04
"Xiaomi Redmi 14C Téléphone portable Android 8 + 256 Go G81 Ultra Processeur 2,0 GHz, écran 6,88"", double caméra AI 50 MP, batterie 5160 mAh, avec charge rapide 18 W, sans NFC (noir)","https://m.media-amazon.com/images/I/51ZnQD6wkxL.__AC_SX300_SY300_QL70_ML2_.jpg","€",4,"2025-02-20",4.4,4,147.0
"Apple iPhone 16 Pro Max (256 Go) - Titane Noir","https://m.media-amazon.com/images/I/61cUeqowwZL.__AC_SY445_SX342_QL70_ML2_.jpg","€",1,"2025-02-20",4.3,609,1139.16
"HUAWEI Pura 70 Pro Smartphone, 12GB + 512GB,écran à Bords Plats, Prend en Charge Les fonctionnalités Capture Ultra-Rapide, Téléobjectif Macro Ultra Lumineux, 100W Supercharge, Batterie de 5050mAh,Noir","https://m.media-amazon.com/images/I/71Phj5dSsUL.__AC_SX300_SY300_QL70_ML2_.jpg","€",3,"2025-02-20",4.3,68,794.74
"Apple iPhone 16 Pro Max (256 Go) - Titane Noir","https://m.media-amazon.com/images/I/61cUeqowwZL.__AC_SY445_SX342_QL70_ML2_.jpg","€",1,"2025-02-20",4.3,615,1139.16
"Xiaomi Redmi 14C Téléphone portable Android 8 + 256 Go G81 Ultra Processeur 2,0 GHz, écran 6,88"", double caméra AI 50 MP, batterie 5160 mAh, avec charge rapide 18 W, sans NFC (noir)","https://m.media-amazon.com/images/I/51ZnQD6wkxL.__AC_SX300_SY300_QL70_ML2_.jpg","€",4,"2025-02-20",4.4,4,139.0
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Noir Volcanique, 256GB","https://m.media-amazon.com/images/I/61bG6IqyD5L.__AC_SX300_SY300_QL70_ML2_.jpg","€",0,"2025-02-20",4.4,344,700.04
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Noir Volcanique, 256GB","https://m.media-amazon.com/images/I/61bG6IqyD5L.__AC_SX300_SY300_QL70_ML2_.jpg","€",0,"2025-02-20",4.4,344,700.04
"HUAWEI Pura 70 Pro Smartphone, 12GB + 512GB,écran à Bords Plats, Prend en Charge Les fonctionnalités Capture Ultra-Rapide, Téléobjectif Macro Ultra Lumineux, 100W Supercharge, Batterie de 5050mAh,Noir","https://m.media-amazon.com/images/I/71Phj5dSsUL.__AC_SX300_SY300_QL70_ML2_.jpg","€",3,"2025-02-20",4.3,68,794.74
